#slotIndex,5
#slotTotal,6
#polarity,1
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,297
#decimation,1
#peakCounts,183
#gain,213
#amplitudeRatio,0.8591549396514893
#residual,0.05774650350213051
#gapMs,2149
#openedAtMs,698841
#closedAtMs,699125
#outcomeName,MAGNET
sample_index,counts
0,26
1,27
2,29
3,30
4,29
5,25
6,30
7,32
8,32
9,32
10,37
11,33
12,38
13,38
14,39
15,40
16,41
17,41
18,42
19,42
20,42
21,43
22,43
23,44
24,44
25,45
26,48
27,49
28,48
29,52
30,51
31,52
32,52
33,55
34,53
35,54
36,51
37,57
38,59
39,61
40,58
41,64
42,64
43,66
44,68
45,70
46,69
47,69
48,71
49,74
50,74
51,69
52,79
53,76
54,76
55,77
56,76
57,79
58,85
59,85
60,88
61,87
62,90
63,90
64,91
65,89
66,93
67,89
68,91
69,92
70,91
71,96
72,99
73,106
74,106
75,106
76,106
77,107
78,111
79,111
80,112
81,113
82,116
83,119
84,120
85,119
86,121
87,122
88,123
89,123
90,127
91,129
92,129
93,133
94,133
95,138
96,138
97,138
98,136
99,139
100,138
101,143
102,140
103,145
104,147
105,149
106,148
107,151
108,151
109,153
110,155
111,153
112,159
113,158
114,157
115,161
116,161
117,159
118,164
119,165
120,165
121,167
122,169
123,170
124,170
125,171
126,167
127,171
128,171
129,173
130,170
131,173
132,175
133,176
134,176
135,175
136,177
137,177
138,177
139,175
140,179
141,187
142,179
143,183
144,181
145,181
146,185
147,183
148,181
149,182
150,181
151,182
152,181
153,183
154,182
155,181
156,180
157,181
158,183
159,181
160,180
161,180
162,172
163,177
164,177
165,176
166,177
167,176
168,175
169,170
170,169
171,169
172,169
173,169
174,170
175,167
176,170
177,168
178,165
179,163
180,164
181,170
182,169
183,168
184,166
185,164
186,157
187,161
188,157
189,156
190,155
191,154
192,154
193,152
194,151
195,151
196,150
197,145
198,145
199,141
200,145
201,141
202,139
203,138
204,138
205,137
206,137
207,133
208,133
209,131
210,129
211,128
212,124
213,123
214,120
215,116
216,116
217,115
218,115
219,113
220,109
221,106
222,107
223,106
224,106
225,106
226,104
227,101
228,101
229,97
230,93
231,93
232,90
233,91
234,89
235,87
236,87
237,85
238,84
239,81
240,78
241,78
242,76
243,75
244,74
245,73
246,72
247,69
248,69
249,65
250,64
251,65
252,61
253,60
254,57
255,56
256,57
257,52
258,52
259,54
260,51
261,49
262,49
263,45
264,44
265,45
266,42
267,42
268,42
269,42
270,40
271,40
272,31
273,29
274,28
275,27
276,26
277,27
278,29
279,26
280,27
281,27
282,9
283,29
284,27
285,26
286,25
287,25
288,21
289,23
290,23
291,20
292,20
293,19
294,17
295,17
296,15
