#slotIndex,2
#slotTotal,6
#polarity,0
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,225
#decimation,1
#peakCounts,200
#gain,213
#amplitudeRatio,0.9389671087265015
#residual,0.05288073420524597
#gapMs,44042
#openedAtMs,745819
#closedAtMs,746031
#outcomeName,MAGNET
sample_index,counts
0,26
1,27
2,27
3,28
4,30
5,29
6,29
7,33
8,31
9,34
10,33
11,36
12,52
13,38
14,39
15,40
16,42
17,43
18,44
19,43
20,52
21,47
22,46
23,48
24,52
25,53
26,56
27,56
28,57
29,57
30,59
31,59
32,60
33,62
34,66
35,66
36,70
37,72
38,72
39,73
40,76
41,76
42,78
43,84
44,84
45,88
46,86
47,85
48,90
49,91
50,91
51,93
52,96
53,98
54,104
55,106
56,107
57,107
58,110
59,112
60,121
61,123
62,123
63,126
64,126
65,123
66,125
67,125
68,128
69,133
70,136
71,135
72,139
73,142
74,144
75,143
76,150
77,154
78,154
79,155
80,155
81,158
82,160
83,164
84,161
85,163
86,167
87,169
88,172
89,171
90,186
91,176
92,177
93,178
94,182
95,185
96,184
97,187
98,187
99,187
100,188
101,189
102,188
103,190
104,192
105,194
106,192
107,195
108,198
109,196
110,193
111,202
112,200
113,197
114,198
115,198
116,196
117,198
118,196
119,196
120,196
121,196
122,197
123,196
124,196
125,199
126,192
127,192
128,190
129,188
130,187
131,188
132,187
133,187
134,185
135,186
136,184
137,182
138,177
139,177
140,177
141,177
142,174
143,172
144,170
145,166
146,166
147,166
148,160
149,158
150,158
151,155
152,155
153,154
154,149
155,147
156,142
157,144
158,140
159,136
160,134
161,132
162,132
163,130
164,128
165,123
166,108
167,122
168,112
169,110
170,109
171,107
172,105
173,102
174,102
175,96
176,93
177,96
178,91
179,91
180,86
181,86
182,85
183,82
184,77
185,77
186,73
187,70
188,68
189,69
190,63
191,60
192,59
193,58
194,59
195,56
196,53
197,52
198,49
199,49
200,46
201,46
202,40
203,42
204,39
205,38
206,36
207,34
208,32
209,36
210,28
211,29
212,29
213,27
214,27
215,27
216,23
217,22
218,22
219,20
220,20
221,16
222,17
223,14
224,16
