#slotIndex,1
#slotTotal,6
#polarity,0
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,198
#decimation,1
#peakCounts,183
#gain,213
#amplitudeRatio,0.8591549396514893
#residual,0.05965543910861015
#gapMs,1246
#openedAtMs,747277
#closedAtMs,747462
#outcomeName,MAGNET
sample_index,counts
0,25
1,15
2,27
3,26
4,27
5,28
6,30
7,25
8,32
9,29
10,33
11,32
12,45
13,33
14,37
15,41
16,43
17,40
18,41
19,44
20,47
21,44
22,44
23,49
24,50
25,53
26,53
27,37
28,54
29,55
30,59
31,43
32,59
33,59
34,62
35,73
36,76
37,75
38,76
39,79
40,85
41,85
42,81
43,81
44,90
45,86
46,86
47,87
48,90
49,86
50,92
51,92
52,94
53,96
54,103
55,110
56,109
57,106
58,111
59,114
60,116
61,116
62,116
63,121
64,124
65,122
66,127
67,127
68,134
69,133
70,138
71,136
72,144
73,148
74,149
75,140
76,149
77,152
78,153
79,136
80,155
81,156
82,156
83,155
84,164
85,167
86,166
87,170
88,170
89,168
90,171
91,172
92,171
93,176
94,174
95,176
96,177
97,178
98,181
99,180
100,181
101,180
102,176
103,177
104,184
105,183
106,182
107,181
108,182
109,181
110,181
111,178
112,158
113,180
114,177
115,161
116,173
117,173
118,173
119,171
120,171
121,168
122,166
123,182
124,166
125,158
126,162
127,173
128,157
129,151
130,155
131,151
132,150
133,148
134,146
135,141
136,142
137,142
138,140
139,140
140,134
141,128
142,126
143,120
144,123
145,118
146,117
147,110
148,112
149,107
150,107
151,102
152,98
153,101
154,95
155,92
156,91
157,87
158,87
159,81
160,81
161,77
162,75
163,74
164,72
165,62
166,68
167,52
168,60
169,59
170,59
171,36
172,53
173,46
174,49
175,64
176,46
177,43
178,43
179,37
180,38
181,36
182,30
183,27
184,28
185,27
186,27
187,28
188,26
189,7
190,24
191,22
192,18
193,9
194,16
195,10
196,12
197,12
