t_s,regime,station,speed_mm_s,dist_mm,dist_lo_mm,dist_hi_mm,mm_past_prev_magnet,mm_before_next_magnet,hall_spread_counts,basis,verdict
442.98,ordinary,,261.8,52.4,45.5,59.2,48.2,181.7,21,"prior marker interval 1146 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
444.054,ordinary,,278.3,55.7,48.4,62.9,50.1,190.1,20,"prior marker interval 1078 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
445.12,ordinary,,282.2,56.4,49.1,63.8,51.6,191.1,20,"prior marker interval 1063 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
446.175,ordinary,,283.0,56.6,49.2,64.0,50.4,191.0,28,"prior marker interval 1060 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
447.231,ordinary,,285.2,57.0,49.6,64.4,51.6,198.5,16,"prior marker interval 1052 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
448.3,ordinary,,278.3,55.7,48.4,62.9,48.1,181.7,18,"prior marker interval 1078 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
449.33,ordinary,,292.4,58.5,50.9,66.1,51.8,188.0,8,"prior marker interval 1026 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
450.349,ordinary,,293.8,58.8,51.1,66.4,51.7,192.8,23,"prior marker interval 1021 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
451.378,ordinary,,291.0,58.2,50.6,65.8,50.3,190.0,18,"prior marker interval 1031 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
452.411,ordinary,,293.0,58.6,51.0,66.2,52.7,189.3,17,"prior marker interval 1024 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
453.439,ordinary,,291.8,58.4,50.8,66.0,53.1,204.6,19,"prior marker interval 1028 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
454.513,ordinary,,277.0,55.4,48.2,62.6,47.9,186.7,16,"prior marker interval 1083 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
455.575,ordinary,,286.8,57.4,49.9,64.8,53.9,206.2,18,"prior marker interval 1046 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
456.674,ordinary,,270.5,54.1,47.1,61.1,48.7,196.1,16,"prior marker interval 1109 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
457.78,ordinary,,271.5,54.3,47.2,61.4,49.1,187.9,20,"prior marker interval 1105 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
458.856,ordinary,,279.6,55.9,48.6,63.2,51.4,202.4,21,"prior marker interval 1073 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
459.957,ordinary,,271.2,54.2,47.2,61.3,48.0,201.3,20,"prior marker interval 1106 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
461.088,ordinary,,267.9,53.6,46.6,60.5,50.6,192.3,18,"prior marker interval 1120 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
462.192,ordinary,,271.0,54.2,47.2,61.2,50.4,202.2,20,"prior marker interval 1107 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
463.324,ordinary,,264.8,53.0,46.1,59.8,49.2,201.5,12,"prior marker interval 1133 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
464.465,ordinary,,261.8,52.4,45.5,59.2,47.1,228.0,17,"prior marker interval 1146 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
465.74,ordinary,,235.8,47.2,41.0,53.3,48.1,191.0,16,"prior marker interval 1251 ms over surveyed spacing 295 mm, +/-13%",clears p95 field
466.953,ordinary,,263.4,52.7,45.8,59.5,53.5,250.7,20,"prior marker interval 1215 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
468.316,ordinary,,221.2,44.2,38.5,50.0,46.7,239.6,22,"prior marker interval 1356 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
469.815,ordinary,,211.1,42.2,36.7,47.7,45.6,257.2,21,"prior marker interval 1492 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
471.46,ordinary,,195.7,39.1,34.1,44.2,44.4,203.0,17,"prior marker interval 1635 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
472.931,ordinary,,214.3,42.9,37.3,48.4,50.1,258.4,21,"prior marker interval 1470 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
474.561,ordinary,,198.8,39.8,34.6,44.9,44.5,268.5,17,"prior marker interval 1635 ms over surveyed spacing 325 mm, +/-13%",clears p95 field
476.329,ordinary,,177.5,35.5,30.9,40.1,38.5,203.0,17,"prior marker interval 1775 ms over surveyed spacing 315 mm, +/-13%",clears typical field
477.896,ordinary,,195.8,39.2,34.1,44.2,43.7,202.0,19,"prior marker interval 1558 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
479.321,ordinary,,205.1,41.0,35.7,46.3,39.6,213.5,21,"prior marker interval 1463 ms over surveyed spacing 300 mm, +/-13%",clears typical field
480.771,ordinary,,213.9,42.8,37.2,48.3,44.7,205.8,18,"prior marker interval 1426 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
482.126,ordinary,,218.2,43.6,38.0,49.3,42.1,208.6,16,"prior marker interval 1375 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
483.465,ordinary,,221.9,44.4,38.6,50.1,40.6,203.5,22,"prior marker interval 1352 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
484.776,ordinary,,227.3,45.5,39.5,51.4,44.1,198.9,20,"prior marker interval 1298 ms over surveyed spacing 295 mm, +/-13%",clears p95 field
486.037,ordinary,,232.1,46.4,40.4,52.5,43.2,229.1,17,"prior marker interval 1271 ms over surveyed spacing 295 mm, +/-13%",clears p95 field
487.416,ordinary,,219.1,43.8,38.1,49.5,42.1,242.8,20,"prior marker interval 1369 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
488.952,ordinary,,201.5,40.3,35.1,45.5,45.9,243.6,21,"prior marker interval 1489 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
490.573,ordinary,,180.8,36.2,31.5,40.9,38.3,217.5,14,"prior marker interval 1659 ms over surveyed spacing 300 mm, +/-13%",clears typical field
492.184,ordinary,,186.7,37.3,32.5,42.2,38.8,202.7,18,"prior marker interval 1607 ms over surveyed spacing 300 mm, +/-13%",clears typical field
493.687,ordinary,,202.6,40.5,35.2,45.8,44.0,200.5,17,"prior marker interval 1481 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
495.08,ordinary,,213.1,42.6,37.1,48.2,43.3,197.5,19,"prior marker interval 1408 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
496.414,ordinary,,223.9,44.8,39.0,50.6,46.3,211.6,20,"prior marker interval 1340 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
497.767,ordinary,,226.1,45.2,39.3,51.1,47.0,215.7,18,"prior marker interval 1349 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
499.133,ordinary,,221.2,44.2,38.5,50.0,46.9,208.2,20,"prior marker interval 1356 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
500.497,ordinary,,220.9,44.2,38.4,49.9,49.3,217.6,18,"prior marker interval 1358 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
501.906,ordinary,,217.7,43.5,37.9,49.2,48.8,202.5,20,"prior marker interval 1401 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
503.249,ordinary,,219.8,44.0,38.2,49.7,46.8,196.3,21,"prior marker interval 1365 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
504.545,ordinary,,230.4,46.1,40.1,52.1,46.8,215.9,26,"prior marker interval 1302 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
505.881,ordinary,,246.3,49.3,42.9,55.7,49.0,210.3,19,"prior marker interval 1340 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
507.125,ordinary,,238.7,47.7,41.5,53.9,45.3,196.9,19,"prior marker interval 1257 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
508.344,ordinary,,248.6,49.7,43.2,56.2,48.2,186.9,20,"prior marker interval 1207 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
509.48,ordinary,,263.4,52.7,45.8,59.5,48.5,180.9,17,"prior marker interval 1158 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
510.542,ordinary,,281.4,56.3,49.0,63.6,49.2,195.6,18,"prior marker interval 1066 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
511.623,ordinary,,282.5,56.5,49.2,63.8,52.5,198.3,22,"prior marker interval 1062 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
512.716,ordinary,,273.2,54.6,47.5,61.7,52.2,208.2,19,"prior marker interval 1098 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
513.872,ordinary,,261.6,52.3,45.5,59.1,50.7,209.5,18,"prior marker interval 1147 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
515.073,ordinary,,250.6,50.1,43.6,56.6,50.1,205.0,19,"prior marker interval 1197 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
516.276,ordinary,,245.7,49.1,42.8,55.5,45.5,197.1,18,"prior marker interval 1221 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
517.47,ordinary,,252.3,50.5,43.9,57.0,48.4,202.4,20,"prior marker interval 1189 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
518.675,ordinary,,253.4,50.7,44.1,57.3,51.4,192.3,14,"prior marker interval 1184 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
519.824,ordinary,,256.0,51.2,44.5,57.8,48.6,204.0,23,"prior marker interval 1172 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
521.018,ordinary,,254.0,50.8,44.2,57.4,50.0,186.2,20,"prior marker interval 1181 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
522.128,ordinary,,264.8,53.0,46.1,59.8,46.9,184.0,22,"prior marker interval 1133 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
523.203,ordinary,,279.9,56.0,48.7,63.2,50.4,202.6,24,"prior marker interval 1072 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
524.311,ordinary,,272.5,54.5,47.4,61.6,50.1,156.4,27,"prior marker interval 1101 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
525.255,ordinary,,307.3,61.5,53.5,69.4,52.2,201.3,17,"prior marker interval 960 ms over surveyed spacing 295 mm, +/-13%",clears p95 field
526.273,ordinary,,292.4,58.5,50.9,66.1,47.7,195.0,17,"prior marker interval 1026 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
527.325,ordinary,,292.7,58.5,50.9,66.1,54.1,228.6,26,"prior marker interval 1025 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
528.494,ordinary,,258.2,51.6,44.9,58.3,48.5,212.0,21,"prior marker interval 1162 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
529.697,ordinary,,246.7,49.3,42.9,55.8,44.9,203.5,20,"prior marker interval 1216 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
530.902,ordinary,,249.4,49.9,43.4,56.4,44.9,215.5,18,"prior marker interval 1203 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
532.17,ordinary,,245.0,49.0,42.6,55.4,50.0,231.0,19,"prior marker interval 1245 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
533.512,ordinary,,223.0,44.6,38.8,50.4,44.4,239.6,17,"prior marker interval 1345 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
534.989,ordinary,,203.3,40.7,35.4,45.9,41.3,187.8,21,"prior marker interval 1476 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
536.312,ordinary,,241.1,48.2,42.0,54.5,48.0,220.4,20,"prior marker interval 1327 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
537.614,ordinary,,243.9,48.8,42.4,55.1,45.9,180.5,21,"prior marker interval 1312 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
538.735,ordinary,,265.0,53.0,46.1,59.9,48.0,184.2,19,"prior marker interval 1132 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
539.81,ordinary,,279.1,55.8,48.6,63.1,50.2,210.7,21,"prior marker interval 1075 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
540.951,ordinary,,263.9,52.8,45.9,59.6,49.1,198.9,22,"prior marker interval 1137 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
542.091,ordinary,,263.6,52.7,45.9,59.6,49.0,207.5,9,"prior marker interval 1138 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
543.272,ordinary,,255.3,51.1,44.4,57.7,49.5,197.1,19,"prior marker interval 1175 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
544.43,ordinary,,258.0,51.6,44.9,58.3,48.0,175.7,20,"prior marker interval 1163 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
545.488,ordinary,,282.5,56.5,49.2,63.8,50.0,188.1,21,"prior marker interval 1062 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
546.536,ordinary,,285.7,57.1,49.7,64.6,52.0,161.4,19,"prior marker interval 1050 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
547.484,ordinary,,317.1,63.4,55.2,71.7,58.0,191.9,10,"prior marker interval 946 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
548.476,ordinary,,304.0,60.8,52.9,68.7,56.8,185.4,14,"prior marker interval 987 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
549.472,ordinary,,300.6,60.1,52.3,67.9,55.9,190.6,14,"prior marker interval 998 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
550.487,ordinary,,294.1,58.8,51.2,66.5,53.2,185.9,9,"prior marker interval 1020 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
551.504,ordinary,,295.9,59.2,51.5,66.9,54.7,184.3,19,"prior marker interval 1014 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
552.509,ordinary,,278.6,55.7,48.5,63.0,50.7,207.6,22,"prior marker interval 1005 ms over surveyed spacing 280 mm, +/-13%",clears p95 field
553.636,ordinary,,265.7,53.1,46.2,60.1,48.4,171.7,22,"prior marker interval 1129 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
554.66,ordinary,,291.8,58.4,50.8,66.0,51.9,223.5,21,"prior marker interval 1028 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
555.801,ordinary,,252.8,50.6,44.0,57.1,44.2,191.9,18,"prior marker interval 1147 ms over surveyed spacing 290 mm, +/-13%",clears p95 field
556.926,ordinary,,265.3,53.1,46.2,59.9,44.0,174.5,20,"prior marker interval 1131 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
557.96,ordinary,,294.1,58.8,51.2,66.5,51.8,189.7,18,"prior marker interval 1020 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
558.961,ordinary,,292.4,58.5,50.9,66.1,45.6,174.6,16,"prior marker interval 1026 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
559.924,ordinary,,315.5,63.1,54.9,71.3,52.4,203.8,16,"prior marker interval 951 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
560.938,ordinary,,295.9,59.2,51.5,66.9,49.7,199.4,20,"prior marker interval 1014 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
561.98,ordinary,,289.6,57.9,50.4,65.4,48.6,186.5,21,"prior marker interval 1036 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
562.988,ordinary,,294.1,58.8,51.2,66.5,48.2,205.3,17,"prior marker interval 1020 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
564.059,ordinary,,283.6,56.7,49.3,64.1,49.1,208.4,23,"prior marker interval 1058 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
565.169,ordinary,,270.5,54.1,47.1,61.1,47.3,192.6,19,"prior marker interval 1109 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
566.242,ordinary,,276.2,55.2,48.1,62.4,44.5,205.0,19,"prior marker interval 1086 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
567.351,ordinary,,272.0,54.4,47.3,61.5,45.4,198.8,19,"prior marker interval 1103 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
568.455,ordinary,,272.5,54.5,47.4,61.6,47.1,192.6,21,"prior marker interval 1101 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
569.538,ordinary,,277.8,55.6,48.3,62.8,48.9,221.1,18,"prior marker interval 1080 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
570.699,ordinary,,256.0,51.2,44.5,57.8,42.2,223.0,21,"prior marker interval 1172 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
571.962,ordinary,,248.0,49.6,43.1,56.0,47.6,205.3,20,"prior marker interval 1230 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
573.18,ordinary,,245.9,49.2,42.8,55.6,46.7,198.2,22,"prior marker interval 1220 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
574.38,ordinary,,255.2,51.0,44.4,57.7,49.5,197.8,19,"prior marker interval 1195 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
575.527,ordinary,,253.8,50.8,44.2,57.4,43.7,176.6,18,"prior marker interval 1182 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
576.595,ordinary,,278.0,55.6,48.4,62.8,47.8,209.9,21,"prior marker interval 1061 ms over surveyed spacing 295 mm, +/-13%",clears p95 field
577.729,ordinary,,266.0,53.2,46.3,60.1,47.6,200.0,18,"prior marker interval 1128 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
578.853,ordinary,,265.5,53.1,46.2,60.0,45.7,215.0,19,"prior marker interval 1130 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
580.046,ordinary,,254.7,50.9,44.3,57.6,46.6,170.4,16,"prior marker interval 1178 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
581.094,ordinary,,290.5,58.1,50.5,65.6,52.0,218.1,21,"prior marker interval 1050 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
582.225,ordinary,,264.1,52.8,46.0,59.7,47.5,207.6,20,"prior marker interval 1136 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
583.404,ordinary,,257.1,51.4,44.7,58.1,49.6,230.8,19,"prior marker interval 1167 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
584.694,ordinary,,236.4,47.3,41.1,53.4,45.4,217.0,17,"prior marker interval 1290 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
586.002,ordinary,,244.3,48.9,42.5,55.2,46.4,175.1,19,"prior marker interval 1310 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
587.102,ordinary,,261.7,52.3,45.5,59.2,47.9,216.5,20,"prior marker interval 1108 ms over surveyed spacing 290 mm, +/-13%",clears p95 field
588.313,ordinary,,264.9,53.0,46.1,59.9,48.7,188.9,23,"prior marker interval 1208 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
589.407,ordinary,,273.5,54.7,47.6,61.8,49.5,262.8,22,"prior marker interval 1097 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
590.762,ordinary,,223.4,44.7,38.9,50.5,43.3,194.3,23,"prior marker interval 1343 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
592.023,ordinary,,241.3,48.3,42.0,54.5,46.1,259.6,20,"prior marker interval 1264 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
593.507,ordinary,,224.8,45.0,39.1,50.8,46.8,251.8,16,"prior marker interval 1468 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
595.037,ordinary,,216.3,43.3,37.6,48.9,45.4,218.2,11,"prior marker interval 1526 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
596.452,ordinary,,225.5,45.1,39.2,51.0,46.5,236.8,21,"prior marker interval 1419 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
597.908,ordinary,,223.2,44.6,38.8,50.4,46.0,229.2,20,"prior marker interval 1456 ms over surveyed spacing 325 mm, +/-13%",clears p95 field
599.337,ordinary,,219.7,43.9,38.2,49.6,44.4,243.2,21,"prior marker interval 1434 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
600.854,ordinary,,235.7,47.1,41.0,53.3,49.5,227.5,18,"prior marker interval 1506 ms over surveyed spacing 355 mm, +/-13%",clears p95 field
602.21,ordinary,,239.8,48.0,41.7,54.2,45.8,231.9,20,"prior marker interval 1376 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
603.572,ordinary,,242.5,48.5,42.2,54.8,47.3,221.1,16,"prior marker interval 1361 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
604.886,ordinary,,252.9,50.6,44.0,57.1,51.1,231.6,23,"prior marker interval 1305 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
606.213,ordinary,,250.8,50.2,43.6,56.7,52.9,260.8,20,"prior marker interval 1316 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
607.673,ordinary,,233.5,46.7,40.6,52.8,51.4,236.1,20,"prior marker interval 1456 ms over surveyed spacing 340 mm, +/-13%",clears p95 field
609.106,ordinary,,231.1,46.2,40.2,52.2,51.3,243.8,22,"prior marker interval 1428 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
610.587,ordinary,,214.1,42.8,37.3,48.4,48.4,230.2,17,"prior marker interval 1471 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
612.075,ordinary,,215.5,43.1,37.5,48.7,45.9,231.9,21,"prior marker interval 1508 ms over surveyed spacing 325 mm, +/-13%",clears p95 field
613.581,ordinary,,222.1,44.4,38.6,50.2,51.1,231.2,25,"prior marker interval 1486 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
615.025,ordinary,,213.4,42.7,37.1,48.2,43.3,208.9,19,"prior marker interval 1476 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
616.413,ordinary,,217.5,43.5,37.9,49.2,45.5,184.9,22,"prior marker interval 1379 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
617.665,ordinary,,238.3,47.7,41.5,53.9,48.1,197.8,19,"prior marker interval 1259 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
618.892,ordinary,,239.6,47.9,41.7,54.2,47.2,201.5,17,"prior marker interval 1231 ms over surveyed spacing 295 mm, +/-13%",clears p95 field
620.127,ordinary,,241.9,48.4,42.1,54.7,46.9,196.2,14,"prior marker interval 1240 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
621.317,ordinary,,241.3,48.3,42.0,54.5,43.2,191.3,15,"prior marker interval 1202 ms over surveyed spacing 290 mm, +/-13%",clears p95 field
622.504,ordinary,,256.2,51.2,44.6,57.9,49.7,228.5,23,"prior marker interval 1171 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
623.792,ordinary,,245.1,49.0,42.7,55.4,48.0,221.4,18,"prior marker interval 1285 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
625.086,ordinary,,241.7,48.3,42.1,54.6,46.2,243.4,21,"prior marker interval 1303 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
626.487,ordinary,,232.5,46.5,40.5,52.5,45.1,205.3,15,"prior marker interval 1398 ms over surveyed spacing 325 mm, +/-13%",clears p95 field
627.778,ordinary,,242.6,48.5,42.2,54.8,50.5,199.1,22,"prior marker interval 1278 ms over surveyed spacing 310 mm, +/-13%",clears p95 field
628.997,ordinary,,243.9,48.8,42.4,55.1,48.3,185.4,16,"prior marker interval 1230 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
630.156,ordinary,,260.0,52.0,45.2,58.8,51.7,201.0,15,"prior marker interval 1154 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
631.327,ordinary,,272.6,54.5,47.4,61.6,54.0,227.1,18,"prior marker interval 1174 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
632.556,ordinary,,255.5,51.1,44.5,57.7,50.1,197.5,21,"prior marker interval 1233 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
633.725,ordinary,,269.7,53.9,46.9,61.0,52.9,187.2,25,"prior marker interval 1168 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
634.801,ordinary,,279.6,55.9,48.6,63.2,50.9,200.2,21,"prior marker interval 1091 ms over surveyed spacing 305 mm, +/-13%",clears p95 field
635.896,ordinary,,273.7,54.7,47.6,61.9,49.0,165.3,18,"prior marker interval 1096 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
636.877,ordinary,,300.4,60.1,52.3,67.9,53.2,179.3,20,"prior marker interval 982 ms over surveyed spacing 295 mm, +/-13%",clears p95 field
637.845,ordinary,,307.4,61.5,53.5,69.5,52.6,202.3,24,"prior marker interval 976 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
638.879,ordinary,,291.8,58.4,50.8,66.0,51.4,200.2,17,"prior marker interval 1028 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
639.937,ordinary,,282.5,56.5,49.2,63.8,48.6,230.2,20,"prior marker interval 1062 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
641.136,ordinary,,253.2,50.6,44.1,57.2,46.6,214.2,21,"prior marker interval 1185 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
642.382,ordinary,,256.1,51.2,44.6,57.9,51.2,234.1,19,"prior marker interval 1230 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
643.69,ordinary,,251.3,50.3,43.7,56.8,48.8,240.3,19,"prior marker interval 1313 ms over surveyed spacing 330 mm, +/-13%",clears p95 field
645.036,ordinary,,236.7,47.3,41.2,53.5,45.0,219.4,21,"prior marker interval 1352 ms over surveyed spacing 320 mm, +/-13%",clears p95 field
646.351,ordinary,,238.8,47.8,41.6,54.0,44.9,214.7,16,"prior marker interval 1319 ms over surveyed spacing 315 mm, +/-13%",clears p95 field
647.649,ordinary,,241.1,48.2,41.9,54.5,48.0,190.9,20,"prior marker interval 1286 ms over surveyed spacing 310 mm, +/-13%",clears p95 field
648.832,ordinary,,252.3,50.5,43.9,57.0,48.2,201.3,19,"prior marker interval 1189 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
650.02,ordinary,,251.7,50.3,43.8,56.9,47.8,190.5,18,"prior marker interval 1192 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
651.16,ordinary,,262.0,52.4,45.6,59.2,47.9,182.4,23,"prior marker interval 1145 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
652.24,ordinary,,278.0,55.6,48.4,62.8,51.2,192.4,22,"prior marker interval 1079 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
653.316,ordinary,,278.6,55.7,48.5,63.0,51.3,190.8,21,"prior marker interval 1077 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
654.381,ordinary,,280.6,56.1,48.8,63.4,50.5,193.4,19,"prior marker interval 1069 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
655.448,ordinary,,280.6,56.1,48.8,63.4,50.0,201.2,26,"prior marker interval 1069 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
656.537,ordinary,,274.0,54.8,47.7,61.9,47.1,181.9,15,"prior marker interval 1095 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
657.578,ordinary,,289.6,57.9,50.4,65.4,51.3,192.3,21,"prior marker interval 1036 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
658.616,ordinary,,288.2,57.6,50.1,65.1,50.1,192.2,22,"prior marker interval 1041 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
659.659,ordinary,,286.8,57.4,49.9,64.8,50.5,189.3,20,"prior marker interval 1046 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
660.704,ordinary,,291.0,58.2,50.6,65.8,53.8,192.0,26,"prior marker interval 1031 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
661.746,ordinary,,287.1,57.4,50.0,64.9,52.2,202.1,19,"prior marker interval 1045 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
662.83,ordinary,,276.2,55.2,48.1,62.4,49.7,194.8,20,"prior marker interval 1086 ms over surveyed spacing 300 mm, +/-13%",clears p95 field
