#slotIndex,2
#slotTotal,6
#polarity,0
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,358
#decimation,1
#peakCounts,215
#gain,203
#amplitudeRatio,1.0591132640838623
#residual,0.07574185729026794
#gapMs,2355
#openedAtMs,1516266
#closedAtMs,1516611
#outcomeName,MAGNET
sample_index,counts
0,28
1,28
2,29
3,29
4,31
5,29
6,32
7,32
8,32
9,36
10,36
11,37
12,38
13,39
14,41
15,40
16,41
17,42
18,42
19,44
20,44
21,47
22,43
23,45
24,47
25,49
26,48
27,52
28,51
29,52
30,53
31,55
32,56
33,56
34,58
35,58
36,58
37,58
38,60
39,60
40,63
41,64
42,63
43,65
44,64
45,71
46,71
47,71
48,72
49,73
50,79
51,77
52,79
53,75
54,82
55,82
56,84
57,85
58,87
59,89
60,88
61,90
62,91
63,93
64,101
65,96
66,97
67,97
68,100
69,99
70,103
71,103
72,106
73,107
74,107
75,109
76,111
77,113
78,112
79,116
80,122
81,122
82,123
83,125
84,125
85,124
86,125
87,128
88,130
89,133
90,149
91,135
92,135
93,137
94,139
95,139
96,143
97,145
98,145
99,149
100,141
101,141
102,144
103,151
104,148
105,151
106,151
107,152
108,153
109,154
110,155
111,157
112,156
113,157
114,163
115,163
116,164
117,137
118,168
119,168
120,169
121,170
122,181
123,180
124,180
125,182
126,182
127,182
128,182
129,181
130,179
131,186
132,185
133,186
134,188
135,187
136,186
137,186
138,189
139,188
140,191
141,192
142,191
143,192
144,193
145,202
146,197
147,196
148,200
149,198
150,199
151,201
152,195
153,199
154,203
155,201
156,202
157,203
158,201
159,202
160,202
161,209
162,204
163,204
164,205
165,205
166,207
167,207
168,206
169,206
170,205
171,207
172,208
173,212
174,215
175,211
176,208
177,207
178,211
179,209
180,211
181,215
182,215
183,215
184,211
185,211
186,208
187,210
188,209
189,203
190,203
191,204
192,205
193,208
194,204
195,203
196,205
197,204
198,204
199,203
200,204
201,204
202,199
203,203
204,204
205,203
206,202
207,203
208,202
209,201
210,200
211,200
212,197
213,200
214,199
215,199
216,198
217,194
218,195
219,196
220,199
221,195
222,195
223,192
224,192
225,192
226,189
227,191
228,188
229,188
230,189
231,187
232,187
233,185
234,187
235,185
236,185
237,183
238,181
239,186
240,179
241,181
242,180
243,181
244,174
245,176
246,173
247,172
248,169
249,170
250,170
251,170
252,165
253,166
254,164
255,166
256,160
257,160
258,154
259,158
260,155
261,154
262,154
263,154
264,154
265,152
266,152
267,149
268,144
269,144
270,143
271,141
272,141
273,141
274,137
275,136
276,135
277,132
278,135
279,128
280,127
281,125
282,123
283,122
284,122
285,123
286,121
287,122
288,122
289,122
290,107
291,107
292,106
293,105
294,106
295,102
296,100
297,99
298,95
299,93
300,103
301,90
302,90
303,90
304,89
305,89
306,84
307,83
308,79
309,79
310,77
311,76
312,74
313,72
314,73
315,69
316,67
317,65
318,64
319,61
320,58
321,58
322,58
323,58
324,55
325,54
326,54
327,52
328,51
329,47
330,47
331,42
332,43
333,41
334,39
335,40
336,37
337,38
338,35
339,34
340,42
341,32
342,27
343,27
344,28
345,26
346,26
347,26
348,25
349,23
350,19
351,20
352,21
353,17
354,17
355,14
356,15
357,12
