#slotIndex,4
#slotTotal,6
#polarity,0
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,188
#decimation,1
#peakCounts,203
#gain,204
#amplitudeRatio,0.9950980544090271
#residual,0.08302126824855804
#gapMs,1241
#openedAtMs,1511895
#closedAtMs,1512070
#outcomeName,MAGNET
sample_index,counts
0,24
1,21
2,24
3,24
4,29
5,27
6,26
7,30
8,30
9,34
10,35
11,35
12,39
13,40
14,40
15,45
16,47
17,49
18,53
19,52
20,56
21,56
22,58
23,61
24,63
25,67
26,70
27,71
28,75
29,78
30,85
31,84
32,87
33,88
34,91
35,95
36,99
37,101
38,104
39,105
40,108
41,111
42,119
43,119
44,121
45,123
46,127
47,131
48,136
49,136
50,141
51,151
52,152
53,154
54,153
55,161
56,219
57,165
58,165
59,170
60,178
61,174
62,177
63,178
64,177
65,183
66,183
67,184
68,184
69,187
70,189
71,191
72,191
73,195
74,193
75,189
76,190
77,191
78,193
79,197
80,197
81,197
82,196
83,199
84,200
85,202
86,201
87,202
88,204
89,203
90,202
91,203
92,201
93,205
94,202
95,202
96,203
97,203
98,201
99,204
100,199
101,198
102,202
103,198
104,198
105,199
106,196
107,195
108,193
109,193
110,191
111,190
112,188
113,186
114,186
115,184
116,185
117,184
118,182
119,177
120,179
121,179
122,174
123,174
124,173
125,169
126,168
127,166
128,162
129,159
130,157
131,157
132,154
133,152
134,151
135,152
136,147
137,145
138,140
139,137
140,131
141,134
142,129
143,123
144,123
145,120
146,120
147,119
148,114
149,117
150,119
151,105
152,102
153,104
154,101
155,100
156,91
157,88
158,83
159,88
160,85
161,76
162,74
163,74
164,73
165,70
166,64
167,61
168,59
169,56
170,55
171,49
172,46
173,47
174,34
175,34
176,33
177,30
178,29
179,24
180,24
181,23
182,22
183,21
184,18
185,15
186,14
187,11
