#slotIndex,0
#slotTotal,6
#polarity,0
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,222
#decimation,1
#peakCounts,212
#gain,204
#amplitudeRatio,1.0392156839370728
#residual,0.07720077782869339
#gapMs,44489
#openedAtMs,1561100
#closedAtMs,1561309
#outcomeName,MAGNET
sample_index,counts
0,25
1,26
2,26
3,26
4,27
5,30
6,28
7,31
8,33
9,34
10,37
11,37
12,41
13,41
14,39
15,42
16,44
17,46
18,48
19,51
20,53
21,53
22,57
23,58
24,58
25,59
26,61
27,65
28,67
29,64
30,71
31,70
32,73
33,75
34,79
35,80
36,83
37,87
38,88
39,90
40,90
41,92
42,94
43,96
44,102
45,105
46,99
47,107
48,109
49,115
50,116
51,121
52,122
53,122
54,124
55,128
56,129
57,133
58,135
59,138
60,141
61,140
62,147
63,151
64,151
65,153
66,154
67,155
68,167
69,168
70,170
71,168
72,170
73,169
74,169
75,172
76,174
77,176
78,179
79,180
80,184
81,181
82,186
83,186
84,186
85,187
86,187
87,187
88,196
89,193
90,192
91,195
92,197
93,197
94,203
95,200
96,200
97,203
98,203
99,207
100,202
101,208
102,206
103,207
104,208
105,207
106,206
107,208
108,207
109,211
110,208
111,208
112,208
113,208
114,212
115,209
116,218
117,209
118,209
119,209
120,207
121,209
122,211
123,207
124,212
125,205
126,203
127,205
128,204
129,204
130,203
131,203
132,202
133,200
134,197
135,201
136,198
137,197
138,195
139,195
140,193
141,189
142,187
143,186
144,186
145,186
146,185
147,183
148,180
149,180
150,179
151,154
152,174
153,172
154,166
155,169
156,167
157,163
158,163
159,159
160,159
161,154
162,154
163,154
164,153
165,149
166,142
167,140
168,137
169,135
170,138
171,139
172,135
173,128
174,125
175,123
176,120
177,119
178,119
179,111
180,108
181,96
182,95
183,91
184,90
185,90
186,90
187,84
188,85
189,79
190,85
191,73
192,71
193,67
194,63
195,61
196,61
197,58
198,53
199,52
200,55
201,49
202,47
203,43
204,39
205,39
206,35
207,36
208,34
209,28
210,26
211,26
212,25
213,24
214,24
215,20
216,17
217,17
218,17
219,15
220,12
221,11
