#slotIndex,3
#slotTotal,6
#polarity,1
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,255
#decimation,1
#peakCounts,235
#gain,203
#amplitudeRatio,1.1576354503631592
#residual,0.06965405493974686
#gapMs,1599
#openedAtMs,1513669
#closedAtMs,1513911
#outcomeName,MAGNET
sample_index,counts
0,23
1,24
2,26
3,26
4,25
5,28
6,27
7,30
8,32
9,34
10,36
11,37
12,39
13,38
14,39
15,41
16,35
17,36
18,40
19,40
20,42
21,53
22,53
23,55
24,55
25,55
26,59
27,60
28,64
29,63
30,63
31,70
32,71
33,72
34,73
35,75
36,79
37,79
38,83
39,86
40,89
41,91
42,91
43,94
44,99
45,98
46,102
47,105
48,106
49,108
50,110
51,112
52,118
53,120
54,122
55,123
56,130
57,128
58,132
59,134
60,137
61,138
62,142
63,146
64,148
65,147
66,153
67,152
68,156
69,151
70,162
71,166
72,164
73,169
74,169
75,166
76,172
77,177
78,179
79,182
80,183
81,183
82,188
83,187
84,188
85,192
86,191
87,196
88,201
89,200
90,191
91,201
92,202
93,204
94,206
95,207
96,216
97,227
98,216
99,212
100,216
101,216
102,224
103,223
104,226
105,228
106,227
107,229
108,231
109,230
110,232
111,231
112,232
113,232
114,233
115,233
116,233
117,233
118,233
119,229
120,228
121,228
122,231
123,230
124,233
125,233
126,233
127,230
128,233
129,232
130,233
131,231
132,233
133,233
134,232
135,232
136,233
137,235
138,235
139,234
140,234
141,233
142,233
143,233
144,232
145,233
146,232
147,233
148,231
149,228
150,230
151,227
152,226
153,224
154,223
155,222
156,215
157,216
158,213
159,212
160,212
161,210
162,210
163,206
164,208
165,203
166,201
167,201
168,194
169,198
170,198
171,194
172,192
173,196
174,188
175,188
176,186
177,183
178,181
179,180
180,176
181,174
182,172
183,169
184,169
185,168
186,163
187,164
188,159
189,159
190,156
191,154
192,153
193,149
194,144
195,140
196,140
197,137
198,137
199,134
200,131
201,127
202,125
203,122
204,120
205,116
206,114
207,110
208,107
209,104
210,105
211,102
212,98
213,99
214,94
215,91
216,87
217,85
218,83
219,77
220,78
221,69
222,69
223,67
224,62
225,63
226,58
227,55
228,51
229,46
230,48
231,46
232,43
233,42
234,40
235,40
236,36
237,41
238,41
239,38
240,38
241,34
242,31
243,30
244,26
245,26
246,22
247,22
248,21
249,23
250,16
251,14
252,11
253,11
254,11
