2026-09-26T08:52:25.704	ngr/loco/9950012/state/nav	{"event":"DECLARED","state":"NORMAL","nav":"NORMAL","nav_state":"TRACKING","mm":49,"tgt":48,"dir":"CCW","adv":0,"ref":0}
2026-09-26T08:52:25.705	ngr/loco/9950012/diag/ir_health	{"shadow":0,"health_revision":"PROXIMAL_R1","calibration_id":0,"distance_bounds":"UNVALIDATED","loco_boot":"EE765AA21A71C703","health":"INADEQUATE_CONTRAST","readiness":"UNAVAILABLE","fresh":1,"age_ms":77,"detector_reason":1,"epoch":1,"epoch_active":0,"epoch_starts":1,"epoch_ends":1,"epoch_reason":"INSTRUMENT_UNAVAILABLE","ir_boot":"14802F4D0D61DA7D","seq":1318,"pulses":26,"epoch_mm":null,"delta_pulses":null,"delta_us":null,"ref_valid":0,"ref_mm":null,"ref_ms":null,"ref_event":0,"ref_alignment_us":0,"ref_basis":"NAV05_ACCEPTED","distance_mm":null,"accepted":1316,"rejected":0,"duplicate":0,"old":0,"queue_gaps":0,"changes":13}
2026-09-26T08:52:26.327	ngr/loco/9950012/diag/ir_link	{"paired":1,"channel":11,"channel_ok":1,"radio_ready":1,"seen_mac":"38:18:2B:30:8C:2C","seen":1323,"accepted":1323,"rejected":0,"duplicate":0,"reboot":0,"queue_drop":0,"fresh":1,"age_ms":15,"reason":1,"boot":"14802F4D0D61DA7D","seq":1325,"pulses":26,"span":31,"distance_bounds":"UNVALIDATED","authority":"NOMINAL_HYPOTHESIS_EVIDENCE","ir_valid":0,"ir_mmps":null,"ir_pkph":null,"ir_speed_reason":"INADEQUATE_CONTRAST","ir_coupled":1,"ir_window_us":0,"ir_delta_pulses":0,"ir_pitch_um":0,"ir_speed_authority":"OBSERVE_ONLY","navi_speed_valid":1,"navi_speed_mmps":0.000,"navi_speed_reason":"STOPPED"}
2026-09-26T08:52:26.328	ngr/loco/9950012/telem/ir	{"paired":1,"channel":11,"channel_ok":1,"radio_ready":1,"seen_mac":"38:18:2B:30:8C:2C","seen":1323,"accepted":1323,"rejected":0,"duplicate":0,"reboot":0,"queue_drop":0,"fresh":1,"age_ms":15,"reason":1,"boot":"14802F4D0D61DA7D","seq":1325,"pulses":26,"span":31,"distance_bounds":"UNVALIDATED","authority":"NOMINAL_HYPOTHESIS_EVIDENCE","ir_valid":0,"ir_mmps":null,"ir_pkph":null,"ir_speed_reason":"INADEQUATE_CONTRAST","ir_coupled":1,"ir_window_us":0,"ir_delta_pulses":0,"ir_pitch_um":0,"ir_speed_authority":"OBSERVE_ONLY","navi_speed_valid":1,"navi_speed_mmps":0.000,"navi_speed_reason":"STOPPED"}
2026-09-26T08:52:26.328	ngr/loco/9950012/alert	{"level":"CLEAR","reason":"STATUS","loco":"9950012","uptime_ms":168117,"state":"NORMAL","nav":"NORMAL","nav_state":"TRACKING","mm":49,"dead_reckoned_mm":49,"tgt":48,"dir":"CCW","session_dir":"CCW","trust":"OPERATOR_DECLARED","powered":0,"moving":null,"motion_source":"IR","pwm":0,"auto":0,"running":0,"estop":0,"lowvolt":0,"ina":1,"est_mm_s":0,"est_age_ms":null,"baseline":1828,"base_age_ms":165757,"distance_confirmed":0,"distance_assessable":0,"ir_interval":"NO_MM_REFERENCE","ir_waits":0,"ir_bounds":"UNVALIDATED","ir_fitted":1,"agree":0,"disagree":0,"pub_drop":0,"cmd_drop":0}
2026-09-26T08:52:26.329	ngr/loco/9950012/state/throttle	0
2026-09-26T08:52:26.329	ngr/loco/9950012/state/direction	2
2026-09-26T08:52:26.329	ngr/loco/9950012/state/estop	0
2026-09-26T08:52:26.329	ngr/loco/9950012/state/nav_ready	1
2026-09-26T08:52:26.336	ngr/loco/9950012/state/loopstat	{"hall_events":0,"hall_drop":0,"baseline_diag_drop":0,"ir_drop":0,"stale_frame":0,"pub_drop":0,"cmd_drop":0}
2026-09-26T08:52:26.689	ngr/loco/9950012/diag/ir_health	{"shadow":0,"health_revision":"PROXIMAL_R1","calibration_id":0,"distance_bounds":"UNVALIDATED","loco_boot":"EE765AA21A71C703","health":"INADEQUATE_CONTRAST","readiness":"UNAVAILABLE","fresh":1,"age_ms":80,"detector_reason":1,"epoch":1,"epoch_active":0,"epoch_starts":1,"epoch_ends":1,"epoch_reason":"INSTRUMENT_UNAVAILABLE","ir_boot":"14802F4D0D61DA7D","seq":1328,"pulses":26,"epoch_mm":null,"delta_pulses":null,"delta_us":null,"ref_valid":0,"ref_mm":null,"ref_ms":null,"ref_event":0,"ref_alignment_us":0,"ref_basis":"NAV05_ACCEPTED","distance_mm":null,"accepted":1326,"rejected":0,"duplicate":0,"old":0,"queue_gaps":0,"changes":13}
