timestamp,topic,loco_id,event,phase,station,offset,commanded_pwm,actual_pwm,note,seq,source_line
2026-08-08T23:16:44-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-5,60,60,HOLD_60,,31696
2026-08-08T23:16:46-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-4,60,60,HOLD_60,,31705
2026-08-08T23:16:49-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-3,60,60,HOLD_60,,31718
2026-08-08T23:16:51-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-2,60,60,HOLD_60,,31729
2026-08-08T23:16:54-0700,ngr/loco/9950011/state/station,9950011,ZONE_HOLD,1,Bamboo,-1,60,60,HOLD_60,,31742
2026-08-08T23:16:57-0700,ngr/loco/9950011/state/station,9950011,FINAL_APPROACH,2,Bamboo,0,60,60,LOCATION_TRIGGERED_TARGETS,,31752
2026-08-08T23:16:57-0700,ngr/loco/9950011/state/station,9950011,FINAL_TARGET,2,Bamboo,0,60,60,AT_CENTRE_ZONE_SPEED,,31753
2026-08-08T23:16:59-0700,ngr/loco/9950011/state/station,9950011,ZERO_RAMP,3,Bamboo,1,0,60,TRIGGER_M2_REACHED,,31768
2026-08-08T23:17:02-0700,ngr/loco/9950011/state/station,9950011,DWELL_BEGIN,4,Bamboo,1,0,0,FIXED_DWELL,,31777
2026-08-08T23:17:17-0700,ngr/loco/9950011/state/station,9950011,DWELL_COMPLETE,5,Bamboo,1,100,0,DEPART_TO_CRUISE,,31825
2026-08-08T23:17:22-0700,ngr/loco/9950011/state/station,9950011,DEPARTURE_COMPLETE,5,Bamboo,4,100,100,CLEARED_ZONE,,31851
2026-08-08T23:17:22-0700,ngr/loco/9950011/state/station,9950011,RESET,0,NONE,999,100,100,DEPARTED,,31852
2026-08-08T23:17:39-0700,ngr/loco/9950011/state/station,9950011,ARMED,1,Patio,-12,100,100,RANGE_ARM_NORMAL,,31947
2026-08-08T23:17:42-0700,ngr/loco/9950011/state/station,9950011,APPROACH,1,Patio,-10,92,100,DERIVED_CRUISE_TO_ZONE,,31961
