#slotIndex,3
#slotTotal,6
#polarity,1
#outcome,3
#isMagnet,0
#shapeTested,1
#sampleCount,398
#decimation,32
#peakCounts,72
#gain,190
#amplitudeRatio,0.378947377204895
#residual,0.27257004380226135
#gapMs,0
#openedAtMs,4351994
#closedAtMs,4364711
#outcomeName,WRONG_SHAPE
sample_index,counts
0,64
1,67
2,69
3,69
4,69
5,63
6,69
7,70
8,69
9,70
10,69
11,71
12,70
13,69
14,68
15,69
16,69
17,69
18,72
19,69
20,69
21,72
22,68
23,72
24,67
25,70
26,69
27,69
28,70
29,69
30,69
31,67
32,66
33,69
34,71
35,69
36,70
37,71
38,68
39,69
40,63
41,73
42,70
43,69
44,68
45,70
46,70
47,71
48,70
49,68
50,69
51,69
52,69
53,71
54,72
55,69
56,60
57,63
58,67
59,74
60,70
61,59
62,66
63,66
64,69
65,70
66,69
67,71
68,69
69,69
70,68
71,69
72,62
73,70
74,69
75,68
76,66
77,66
78,68
79,69
80,70
81,70
82,72
83,70
84,69
85,70
86,69
87,68
88,62
89,69
90,68
91,68
92,69
93,69
94,62
95,64
96,64
97,70
98,70
99,70
100,70
101,71
102,70
103,70
104,64
105,67
106,70
107,66
108,69
109,56
110,63
111,70
112,69
113,70
114,70
115,66
116,58
117,65
118,70
119,70
120,66
121,71
122,70
123,71
124,70
125,66
126,65
127,70
128,70
129,72
130,71
131,70
132,69
133,70
134,64
135,71
136,63
137,69
138,69
139,69
140,69
141,69
142,69
143,72
144,69
145,68
146,68
147,70
148,69
149,63
150,67
151,70
152,66
153,69
154,69
155,69
156,69
157,67
158,70
159,69
160,69
161,65
162,69
163,69
164,69
165,69
166,69
167,69
168,67
169,68
170,70
171,69
172,69
173,69
174,70
175,68
176,71
177,69
178,72
179,70
180,69
181,65
182,53
183,69
184,64
185,70
186,71
187,69
188,67
189,67
190,69
191,69
192,69
193,70
194,70
195,69
196,70
197,69
198,69
199,71
200,64
201,69
202,69
203,74
204,66
205,69
206,80
207,70
208,69
209,70
210,63
211,68
212,69
213,62
214,69
215,68
216,66
217,69
218,70
219,64
220,68
221,69
222,69
223,62
224,66
225,69
226,69
227,69
228,69
229,69
230,70
231,70
232,64
233,67
234,69
235,69
236,69
237,70
238,69
239,69
240,69
241,68
242,64
243,70
244,69
245,69
246,68
247,70
248,65
249,69
250,65
251,66
252,69
253,67
254,70
255,70
256,69
257,69
258,68
259,69
260,68
261,70
262,68
263,71
264,64
265,69
266,64
267,66
268,68
269,68
270,69
271,66
272,67
273,67
274,71
275,69
276,69
277,71
278,68
279,69
280,63
281,67
282,71
283,71
284,69
285,69
286,69
287,68
288,68
289,71
290,69
291,68
292,69
293,69
294,69
295,60
296,60
297,69
298,69
299,69
300,69
301,68
302,70
303,68
304,70
305,70
306,69
307,69
308,70
309,69
310,66
311,69
312,62
313,66
314,64
315,69
316,69
317,69
318,68
319,71
320,69
321,70
322,69
323,71
324,69
325,68
326,69
327,69
328,70
329,72
330,70
331,64
332,67
333,68
334,69
335,69
336,69
337,71
338,70
339,69
340,70
341,69
342,69
343,69
344,64
345,66
346,69
347,94
348,70
349,68
350,69
351,69
352,68
353,68
354,70
355,71
356,70
357,69
358,71
359,70
360,65
361,71
362,68
363,65
364,71
365,70
366,68
367,68
368,70
369,69
370,74
371,68
372,69
373,69
374,70
375,53
376,67
377,67
378,68
379,66
380,69
381,69
382,67
383,69
384,69
385,71
386,74
387,69
388,70
389,72
390,73
391,71
392,72
393,72
394,70
395,60
396,56
397,31
