#slotIndex,4
#slotTotal,6
#polarity,1
#outcome,3
#isMagnet,0
#shapeTested,1
#sampleCount,271
#decimation,2048
#peakCounts,82
#gain,190
#amplitudeRatio,0.43157893419265747
#residual,0.27647557854652405
#gapMs,0
#openedAtMs,3379
#closedAtMs,558377
#outcomeName,WRONG_SHAPE
sample_index,counts
0,-38
1,74
2,80
3,79
4,78
5,79
6,79
7,75
8,82
9,80
10,80
11,80
12,80
13,80
14,76
15,73
16,72
17,74
18,75
19,81
20,81
21,75
22,82
23,82
24,82
25,72
26,79
27,81
28,80
29,82
30,79
31,78
32,76
33,79
34,80
35,78
36,72
37,79
38,82
39,80
40,79
41,80
42,81
43,80
44,79
45,79
46,78
47,79
48,79
49,79
50,78
51,76
52,78
53,80
54,78
55,76
56,72
57,71
58,80
59,74
60,78
61,78
62,78
63,78
64,78
65,79
66,81
67,79
68,80
69,82
70,79
71,80
72,82
73,80
74,79
75,78
76,79
77,78
78,75
79,76
80,82
81,80
82,78
83,78
84,79
85,76
86,79
87,78
88,78
89,78
90,69
91,69
92,70
93,68
94,84
95,76
96,70
97,71
98,72
99,73
100,65
101,75
102,75
103,74
104,79
105,75
106,78
107,76
108,78
109,80
110,81
111,76
112,78
113,81
114,76
115,73
116,80
117,77
118,74
119,79
120,81
121,81
122,75
123,73
124,73
125,79
126,75
127,75
128,78
129,79
130,76
131,76
132,75
133,76
134,78
135,75
136,81
137,78
138,78
139,78
140,72
141,78
142,78
143,72
144,70
145,79
146,75
147,78
148,72
149,76
150,76
151,77
152,76
153,75
154,75
155,78
156,75
157,75
158,79
159,76
160,75
161,78
162,76
163,76
164,75
165,72
166,76
167,68
168,68
169,68
170,69
171,70
172,70
173,69
174,71
175,68
176,77
177,79
178,77
179,80
180,78
181,73
182,75
183,76
184,59
185,76
186,70
187,75
188,76
189,74
190,76
191,76
192,74
193,76
194,75
195,73
196,76
197,78
198,78
199,75
200,79
201,79
202,76
203,74
204,76
205,76
206,76
207,75
208,74
209,78
210,76
211,79
212,74
213,76
214,74
215,74
216,75
217,72
218,71
219,75
220,78
221,76
222,75
223,72
224,76
225,76
226,76
227,78
228,75
229,56
230,69
231,78
232,76
233,79
234,76
235,74
236,80
237,78
238,76
239,76
240,72
241,75
242,76
243,71
244,70
245,70
246,69
247,76
248,76
249,69
250,69
251,69
252,71
253,74
254,76
255,74
256,75
257,75
258,74
259,80
260,74
261,79
262,74
263,76
264,75
265,74
266,75
267,76
268,73
269,74
270,80
