#slotIndex,0
#slotTotal,6
#polarity,0
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,122
#decimation,1
#peakCounts,144
#gain,190
#amplitudeRatio,0.75789475440979
#residual,0.1043122336268425
#gapMs,2611
#openedAtMs,4367527
#closedAtMs,4367636
#outcomeName,MAGNET
sample_index,counts
0,-33
1,-34
2,-37
3,-36
4,0
5,6
6,7
7,13
8,13
9,16
10,23
11,24
12,43
13,36
14,38
15,44
16,53
17,56
18,65
19,68
20,78
21,74
22,75
23,75
24,78
25,85
26,88
27,93
28,94
29,97
30,106
31,107
32,109
33,112
34,111
35,112
36,117
37,122
38,124
39,127
40,125
41,129
42,132
43,136
44,136
45,138
46,139
47,137
48,139
49,139
50,139
51,140
52,142
53,144
54,144
55,142
56,149
57,141
58,143
59,142
60,142
61,140
62,142
63,141
64,139
65,144
66,139
67,139
68,138
69,137
70,137
71,133
72,155
73,129
74,129
75,132
76,128
77,124
78,117
79,115
80,116
81,112
82,108
83,110
84,106
85,107
86,108
87,106
88,104
89,106
90,103
91,91
92,88
93,88
94,81
95,77
96,76
97,75
98,71
99,71
100,66
101,61
102,58
103,57
104,50
105,49
106,46
107,43
108,40
109,36
110,32
111,30
112,26
113,14
114,22
115,14
116,12
117,11
118,6
119,6
120,0
121,-3
