#slotIndex,0
#slotTotal,6
#polarity,1
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,141
#decimation,1
#peakCounts,132
#gain,175
#amplitudeRatio,0.7542856931686401
#residual,0.10869880020618439
#gapMs,3705
#openedAtMs,810217
#closedAtMs,810345
#outcomeName,MAGNET
sample_index,counts
0,6
1,17
2,19
3,21
4,19
5,19
6,25
7,23
8,26
9,30
10,13
11,36
12,38
13,39
14,44
15,46
16,49
17,53
18,57
19,61
20,65
21,65
22,65
23,68
24,69
25,70
26,78
27,81
28,83
29,84
30,85
31,86
32,91
33,90
34,97
35,99
36,100
37,101
38,103
39,103
40,110
41,108
42,110
43,114
44,131
45,114
46,117
47,119
48,122
49,121
50,123
51,126
52,126
53,123
54,126
55,129
56,129
57,129
58,130
59,132
60,131
61,132
62,132
63,131
64,132
65,132
66,130
67,127
68,132
69,132
70,131
71,132
72,132
73,129
74,132
75,132
76,126
77,131
78,129
79,123
80,128
81,126
82,126
83,122
84,123
85,117
86,119
87,118
88,116
89,114
90,111
91,114
92,106
93,104
94,106
95,106
96,102
97,102
98,102
99,104
100,103
101,102
102,100
103,99
104,96
105,94
106,87
107,87
108,86
109,85
110,82
111,78
112,75
113,75
114,70
115,68
116,66
117,65
118,62
119,62
120,54
121,51
122,50
123,47
124,45
125,39
126,37
127,36
128,35
129,20
130,27
131,25
132,23
133,18
134,19
135,15
136,11
137,4
138,2
139,1
140,2
