#slotIndex,4
#slotTotal,6
#polarity,0
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,295
#decimation,1
#peakCounts,204
#gain,181
#amplitudeRatio,1.1270718574523926
#residual,0.057204801589250565
#gapMs,1859
#openedAtMs,761781
#closedAtMs,762063
#outcomeName,MAGNET
sample_index,counts
0,30
1,30
2,30
3,29
4,31
5,30
6,32
7,32
8,33
9,33
10,33
11,34
12,38
13,34
14,36
15,37
16,41
17,41
18,40
19,44
20,44
21,46
22,46
23,47
24,47
25,47
26,47
27,47
28,50
29,53
30,72
31,50
32,54
33,56
34,54
35,58
36,58
37,61
38,62
39,63
40,64
41,64
42,65
43,67
44,66
45,67
46,72
47,72
48,74
49,76
50,76
51,77
52,79
53,78
54,79
55,79
56,82
57,85
58,84
59,88
60,88
61,89
62,89
63,93
64,92
65,96
66,97
67,108
68,109
69,109
70,110
71,111
72,107
73,108
74,110
75,109
76,111
77,114
78,116
79,116
80,117
81,121
82,121
83,125
84,124
85,127
86,127
87,129
88,130
89,132
90,137
91,136
92,141
93,140
94,146
95,142
96,143
97,145
98,146
99,146
100,148
101,149
102,154
103,156
104,156
105,158
106,159
107,163
108,164
109,164
110,166
111,169
112,169
113,169
114,174
115,175
116,175
117,175
118,176
119,176
120,178
121,178
122,180
123,185
124,184
125,186
126,186
127,186
128,188
129,190
130,190
131,193
132,192
133,191
134,191
135,188
136,194
137,195
138,194
139,203
140,212
141,197
142,199
143,200
144,200
145,201
146,202
147,200
148,202
149,202
150,204
151,201
152,201
153,202
154,204
155,202
156,204
157,204
158,202
159,204
160,201
161,204
162,204
163,202
164,200
165,194
166,201
167,200
168,198
169,196
170,207
171,202
172,202
173,198
174,200
175,208
176,192
177,191
178,191
179,191
180,189
181,189
182,186
183,188
184,184
185,192
186,184
187,177
188,178
189,176
190,175
191,177
192,175
193,174
194,174
195,172
196,169
197,165
198,165
199,166
200,162
201,160
202,161
203,157
204,157
205,156
206,152
207,153
208,146
209,145
210,146
211,145
212,141
213,140
214,139
215,134
216,132
217,133
218,130
219,129
220,128
221,126
222,124
223,121
224,121
225,116
226,115
227,113
228,111
229,110
230,110
231,107
232,104
233,100
234,104
235,98
236,97
237,95
238,92
239,92
240,88
241,89
242,84
243,84
244,80
245,79
246,79
247,78
248,75
249,74
250,73
251,72
252,70
253,68
254,65
255,64
256,62
257,62
258,60
259,60
260,58
261,53
262,52
263,49
264,48
265,49
266,47
267,47
268,47
269,44
270,44
271,42
272,47
273,45
274,45
275,45
276,41
277,31
278,29
279,29
280,28
281,29
282,34
283,27
284,24
285,26
286,24
287,21
288,20
289,17
290,16
291,16
292,17
293,17
294,15
