#slotIndex,3
#slotTotal,6
#polarity,0
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,373
#decimation,1
#peakCounts,196
#gain,181
#amplitudeRatio,1.082872986793518
#residual,0.07726476341485977
#gapMs,2229
#openedAtMs,764292
#closedAtMs,764652
#outcomeName,MAGNET
sample_index,counts
0,25
1,26
2,29
3,25
4,27
5,30
6,30
7,30
8,31
9,31
10,33
11,34
12,45
13,43
14,43
15,45
16,46
17,45
18,46
19,47
20,48
21,47
22,46
23,47
24,49
25,53
26,49
27,46
28,46
29,48
30,51
31,55
32,53
33,56
34,57
35,59
36,58
37,61
38,62
39,63
40,64
41,66
42,64
43,68
44,74
45,72
46,73
47,73
48,75
49,78
50,78
51,79
52,79
53,81
54,84
55,82
56,87
57,89
58,88
59,92
60,93
61,94
62,97
63,97
64,99
65,100
66,105
67,107
68,107
69,107
70,109
71,110
72,110
73,113
74,113
75,114
76,117
77,119
78,120
79,120
80,124
81,126
82,126
83,128
84,127
85,131
86,133
87,135
88,139
89,138
90,137
91,138
92,140
93,142
94,142
95,143
96,145
97,144
98,146
99,149
100,152
101,149
102,155
103,154
104,160
105,156
106,159
107,158
108,160
109,161
110,163
111,164
112,167
113,167
114,168
115,174
116,175
117,174
118,175
119,176
120,176
121,177
122,177
123,181
124,179
125,183
126,183
127,176
128,179
129,179
130,179
131,181
132,179
133,183
134,189
135,185
136,187
137,184
138,185
139,189
140,188
141,189
142,188
143,190
144,189
145,190
146,189
147,187
148,191
149,191
150,191
151,192
152,192
153,191
154,191
155,191
156,193
157,193
158,192
159,195
160,193
161,199
162,194
163,194
164,194
165,193
166,193
167,195
168,199
169,195
170,195
171,195
172,195
173,196
174,195
175,196
176,195
177,195
178,197
179,195
180,193
181,195
182,195
183,193
184,195
185,193
186,193
187,193
188,190
189,193
190,190
191,191
192,201
193,195
194,191
195,191
196,191
197,190
198,190
199,190
200,190
201,190
202,190
203,188
204,188
205,186
206,187
207,185
208,185
209,186
210,182
211,183
212,185
213,185
214,183
215,180
216,181
217,189
218,187
219,185
220,184
221,183
222,189
223,222
224,184
225,179
226,177
227,175
228,174
229,174
230,174
231,173
232,174
233,165
234,167
235,167
236,164
237,164
238,168
239,165
240,160
241,160
242,158
243,158
244,159
245,157
246,153
247,153
248,152
249,152
250,154
251,152
252,148
253,148
254,147
255,145
256,144
257,143
258,145
259,142
260,142
261,142
262,136
263,140
264,137
265,136
266,135
267,130
268,131
269,132
270,128
271,128
272,127
273,127
274,126
275,125
276,123
277,121
278,120
279,118
280,116
281,115
282,113
283,112
284,111
285,110
286,110
287,109
288,105
289,109
290,105
291,105
292,101
293,103
294,100
295,97
296,96
297,94
298,93
299,91
300,89
301,88
302,87
303,88
304,85
305,93
306,87
307,88
308,87
309,88
310,83
311,81
312,147
313,79
314,77
315,77
316,74
317,78
318,78
319,75
320,67
321,68
322,65
323,65
324,63
325,63
326,63
327,61
328,61
329,59
330,61
331,56
332,55
333,55
334,50
335,50
336,46
337,47
338,47
339,46
340,46
341,46
342,46
343,44
344,43
345,42
346,39
347,40
348,40
349,36
350,33
351,34
352,32
353,31
354,32
355,29
356,30
357,29
358,29
359,31
360,25
361,27
362,27
363,25
364,23
365,19
366,19
367,21
368,18
369,17
370,14
371,13
372,11
