#slotIndex,2
#slotTotal,6
#polarity,1
#outcome,0
#isMagnet,1
#shapeTested,1
#sampleCount,284
#decimation,2
#peakCounts,144
#gain,181
#amplitudeRatio,0.7955800890922546
#residual,0.1112431213259697
#gapMs,41306
#openedAtMs,805958
#closedAtMs,806512
#outcomeName,MAGNET
sample_index,counts
0,32
1,32
2,37
3,36
4,37
5,37
6,38
7,37
8,37
9,37
10,37
11,37
12,38
13,39
14,37
15,38
16,37
17,39
18,42
19,37
20,38
21,42
22,40
23,40
24,40
25,42
26,42
27,42
28,44
29,43
30,44
31,44
32,47
33,45
34,48
35,43
36,47
37,50
38,49
39,51
40,50
41,50
42,53
43,53
44,56
45,52
46,52
47,55
48,55
49,50
50,49
51,51
52,50
53,63
54,64
55,55
56,58
57,57
58,58
59,59
60,60
61,66
62,64
63,65
64,66
65,66
66,69
67,65
68,67
69,69
70,70
71,69
72,69
73,69
74,72
75,72
76,70
77,75
78,72
79,75
80,76
81,79
82,81
83,80
84,82
85,82
86,85
87,85
88,80
89,86
90,86
91,85
92,88
93,90
94,91
95,91
96,92
97,94
98,92
99,94
100,95
101,98
102,100
103,98
104,101
105,101
106,102
107,101
108,103
109,110
110,108
111,108
112,112
113,112
114,117
115,115
116,115
117,117
118,118
119,119
120,120
121,119
122,122
123,122
124,122
125,122
126,124
127,126
128,124
129,127
130,126
131,129
132,130
133,128
134,133
135,132
136,133
137,133
138,133
139,133
140,134
141,133
142,134
143,133
144,134
145,134
146,136
147,136
148,137
149,135
150,139
151,140
152,133
153,133
154,134
155,135
156,134
157,136
158,133
159,139
160,144
161,144
162,143
163,143
164,139
165,142
166,143
167,143
168,148
169,144
170,140
171,144
172,145
173,143
174,143
175,140
176,140
177,143
178,140
179,144
180,144
181,124
182,142
183,144
184,140
185,140
186,140
187,139
188,142
189,139
190,138
191,142
192,140
193,138
194,138
195,138
196,138
197,135
198,134
199,135
200,134
201,136
202,135
203,130
204,131
205,136
206,135
207,133
208,133
209,133
210,133
211,132
212,126
213,130
214,127
215,130
216,128
217,126
218,123
219,122
220,120
221,120
222,117
223,114
224,118
225,114
226,114
227,114
228,112
229,110
230,107
231,106
232,106
233,104
234,104
235,101
236,101
237,101
238,100
239,100
240,98
241,92
242,92
243,87
244,88
245,85
246,86
247,85
248,84
249,82
250,76
251,68
252,74
253,71
254,68
255,64
256,66
257,55
258,59
259,54
260,56
261,54
262,50
263,56
264,53
265,49
266,50
267,46
268,44
269,38
270,42
271,37
272,37
273,34
274,33
275,36
276,28
277,25
278,22
279,22
280,20
281,20
282,18
283,15
